Project,Version,Suite,Test count,APFDf,TTFF,pTTFF,Test time,Test time / Test count,ApproachTime,TTFF (seconds),TTFF Total,ApproachTime / total.exec.time (%)
Cli,24,Ekstazi+dpt,24,0.854166666666667,4,0.166666666666667,11.91,0.49625,5.68066666666667,1.985,7.66566666666667,47.6966134900644
Cli,24,FAST,24,0.648611111111111,8.93333333333333,0.372222222222222,11.91,0.49625,0.0866666666666667,4.43316666666667,4.51983333333333,0.727679820878814
Cli,24,Ekstazi+FAST,24,0.9125,2.6,0.108333333333333,11.91,0.49625,5.68366666666667,1.29025,6.97391666666667,47.721802406941
Cli,24,Random,24,0.513888888888889,12.1666666666667,0.506944444444444,11.91,0.49625,,6.03770833333333,6.03770833333333,0
Cli,24,STARTS,24,0.902777777777778,2.83333333333333,0.118055555555556,11.91,0.49625,9.01,1.40604166666667,10.4160416666667,75.6507136859782
Cli,24,STARTS+DPT,24,0.854166666666667,4,0.166666666666667,11.91,0.49625,14.6906666666667,1.985,16.6756666666667,123.347327176043
Cli,24,STARTS+FAST-S,24,0.923611111111111,2.33333333333333,0.0972222222222222,11.91,0.49625,9.01333333333333,1.15791666666667,10.17125,75.6787013713966
Cli,25,DPT,24,0.229166666666667,19,0.791666666666667,12.2,0.508333333333333,5.59066666666667,9.65833333333334,15.249,45.8251366120219
Cli,25,Ekstazi,24,0.909722222222222,2.66666666666667,0.111111111111111,12.2,0.508333333333333,5.59,1.35555555555556,6.94555555555556,45.8196721311475
Cli,25,Ekstazi+dpt,24,0.854166666666667,4,0.166666666666667,12.2,0.508333333333333,5.59033333333333,2.03333333333333,7.62366666666667,45.8224043715847
Cli,25,FAST,24,0.623611111111111,9.53333333333333,0.397222222222222,12.2,0.508333333333333,0.0866666666666667,4.84611111111111,4.93277777777778,0.710382513661203
Cli,25,Ekstazi+FAST,24,0.923611111111111,2.33333333333333,0.0972222222222222,12.2,0.508333333333333,5.59366666666667,1.18611111111111,6.77977777777778,45.8497267759563
Cli,25,Random,24,0.476388888888889,13.0666666666667,0.544444444444444,12.2,0.508333333333333,,6.64222222222222,6.64222222222222,0
Cli,25,STARTS,24,0.880555555555556,3.36666666666667,0.140277777777778,12.2,0.508333333333333,9.01,1.71138888888889,10.7213888888889,73.8524590163934
Cli,25,STARTS+DPT,24,0.854166666666667,4,0.166666666666667,12.2,0.508333333333333,14.6003333333333,2.03333333333333,16.6336666666667,119.674863387978
Cli,25,STARTS+FAST-S,24,0.909722222222222,2.66666666666667,0.111111111111111,12.2,0.508333333333333,9.01333333333334,1.35555555555556,10.3688888888889,73.8797814207651
Cli,26,DPT,24,0.104166666666667,22,0.916666666666667,13.92,0.58,5.59066666666667,12.76,18.3506666666667,40.1628352490422
Cli,26,Ekstazi,24,0.470833333333333,13.2,0.55,13.92,0.58,5.59,7.656,13.246,40.1580459770115
Cli,26,Ekstazi+dpt,24,0.104166666666667,22,0.916666666666667,13.92,0.58,5.59066666666667,12.76,18.3506666666667,40.1628352490422
