Project, Version, Iteration, Budget, Suite, Test count, APFDf, TTFF, pTTFF
Gson,1,1,90%,Ekstazi+dpt,69,0.7371794871794872,21,0.2692307692307692
Gson,1,1,90%,DPT,69,0.7371794871794872,21,0.2692307692307692
Gson,1,1,90%,STARTS,69,0.7243589743589743,22,0.28205128205128205
Gson,1,1,90%,STARTS+FAST-S,69,0.9166666666666666,7,0.08974358974358974
Gson,1,1,90%,STARTS+FAST-P,69,0.9807692307692307,2,0.02564102564102564
Gson,1,1,90%,STARTS+DPT,69,0.7371794871794872,21,0.2692307692307692
Gson,1,1,90%,Fastazi-S,69,0.967948717948718,3,0.038461538461538464
Gson,1,1,90%,Fastazi-P,69,0.967948717948718,3,0.038461538461538464
Gson,1,1,90%,Random,69,0.3653846153846153,50,0.6410256410256411
Gson,1,1,100%,Ekstazi,77,0.532051282051282,37,0.47435897435897434
Gson,1,1,100%,FAST,77,0.967948717948718,3,0.038461538461538464
Gson,1,1,100%,Ekstazi+dpt,77,0.7371794871794872,21,0.2692307692307692
Gson,1,1,100%,DPT,77,0.7371794871794872,21,0.2692307692307692
Gson,1,1,100%,STARTS,77,0.7243589743589743,22,0.28205128205128205
Gson,1,1,100%,STARTS+FAST-S,77,0.9166666666666666,7,0.08974358974358974
Gson,1,1,100%,STARTS+FAST-P,77,0.9807692307692307,2,0.02564102564102564
Gson,1,1,100%,STARTS+DPT,77,0.7371794871794872,21,0.2692307692307692
Gson,1,1,100%,Fastazi-S,77,0.967948717948718,3,0.038461538461538464
Gson,1,1,100%,Fastazi-P,77,0.967948717948718,3,0.038461538461538464
Gson,1,1,100%,Random,77,0.3653846153846153,50,0.6410256410256411
Gson,1,2,10%,Ekstazi,7,0.0,NA,NA
Gson,1,2,10%,FAST,7,0.967948717948718,3,0.038461538461538464
Gson,1,2,10%,Ekstazi+dpt,7,0.0,NA,NA
Gson,1,2,10%,DPT,7,0.0,NA,NA
Gson,1,2,10%,STARTS,7,0.9423076923076923,5,0.0641025641025641
Gson,1,2,10%,STARTS+FAST-S,7,0.9551282051282051,4,0.05128205128205128
